,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20
0,0,0,5,0,9,0,10,0,19,0,26,0,36,1,39,1,41,2,48,2,60,2,79,2,88,2,92,2,113,2,127,3,141,3,148,3,161,4,179,4,188,5
0,0,0,5,0,5,1,10,1,25,1,41,1,48,1,55,2,60,2,68,2,73,3,83,3,90,3,105,3,119,3,131,3,140,3,153,4,169,4,178,4,186,6
0,0,0,5,1,14,2,20,3,20,4,22,4,30,4,34,5,38,5,39,5,43,5,48,5,49,6,53,6,60,6,62,7,63,9,72,9,74,10,74,10,74,10
0,0,0,1,0,6,1,14,2,14,2,19,2,33,2,40,2,48,3,50,3,59,3,67,4,69,5,72,5,78,5,86,5,95,5,98,6,102,7,117,7,123,9
0,0,0,12,1,13,1,25,1,35,1,42,1,58,1,60,2,69,2,74,2,81,2,87,2,96,2,110,2,113,3,116,4,120,4,127,4,149,4,158,5,166,5
0,0,0,4,0,7,0,22,1,28,1,34,2,39,2,48,3,54,3,63,3,66,4,71,4,75,5,81,5,83,5,86,6,97,6,99,7,113,7,119,7,129,7
0,0,0,3,0,10,0,20,0,24,1,29,1,31,2,33,2,41,3,46,3,48,3,50,3,58,4,62,4,79,5,81,6,91,6,97,6,108,7,117,7,131,7
0,0,0,10,0,16,1,31,1,38,2,45,2,59,2,67,3,75,3,81,3,86,4,93,4,104,4,117,4,119,5,122,5,148,5,159,6,166,7,173,8,184,8
0,0,0,2,0,13,0,24,0,35,0,57,0,67,1,71,2,76,3,77,4,84,4,89,4,102,4,114,4,120,4,126,4,139,4,155,4,169,4,184,6,193,8
0,0,0,13,0,16,0,19,1,25,1,29,2,35,2,44,2,49,2,51,2,58,2,65,2,72,3,81,3,85,3,98,3,112,3,117,5,121,7,130,7,138,7
0,0,0,9,0,10,0,27,0,37,0,58,0,67,0,73,0,76,1,80,1,92,1,100,1,111,3,121,3,135,3,146,3,149,4,164,5,167,5,186,5,191,7
0,0,0,5,1,5,1,10,2,11,2,24,2,31,2,35,3,39,4,43,4,44,5,45,5,47,5,53,5,55,6,58,7,59,7,69,8,77,9,83,9,92,10
0,0,0,5,0,5,3,8,4,10,5,12,5,16,6,18,6,23,7,25,7,28,7,37,8,43,8,58,8,58,8,58,8,58,8,58,8,58,8,58,8,58,8
0,0,0,9,0,12,0,26,0,42,0,47,0,57,1,65,1,72,2,78,3,91,3,97,3,97,3,97,3,97,3,97,3,97,3,97,3,97,3,97,3,97,3
0,0,0,3,0,21,0,27,0,50,0,60,0,61,1,68,1,73,1,77,1,87,1,102,1,112,2,124,2,130,2,154,2,158,2,172,2,179,3,200,3,222,3
0,0,0,5,0,20,0,27,1,33,1,42,1,53,1,62,2,70,3,83,3,88,3,107,3,127,4,133,4,143,4,161,4,169,5,183,5,200,5,215,5,240,5
0,0,0,7,0,17,0,17,1,31,2,37,2,40,2,44,3,48,4,51,4,57,4,59,5,71,6,80,6,87,6,96,7,106,7,110,7,111,8,121,8,129,8
0,0,0,8,0,13,1,19,1,22,2,41,2,47,3,54,3,60,3,72,3,74,3,81,3,94,3,97,3,99,4,105,4,118,4,129,5,149,5,158,6,165,7
0,0,0,9,0,14,0,21,0,21,1,23,2,39,2,45,2,47,2,48,4,52,4,57,4,59,5,62,5,65,5,77,6,82,6,102,6,105,8,110,10,110,10
0,0,0,1,0,6,0,16,0,24,0,38,1,54,1,59,2,70,3,73,4,82,4,85,4,97,4,101,4,112,4,115,4,128,4,136,5,138,7,149,8,166,8
0,0,0,7,0,16,0,34,0,35,1,40,2,53,2,59,2,64,2,72,2,82,2,96,2,112,2,123,2,137,2,143,3,158,3,168,3,182,3,194,4,208,5
0,0,0,12,0,22,0,32,2,33,2,48,2,58,2,61,2,72,2,78,3,85,3,99,3,108,3,118,3,129,3,148,3,160,3,171,3,186,4,203,4,214,5
0,0,0,2,0,8,1,15,1,25,1,43,1,60,1,70,1,81,1,86,2,94,2,107,3,110,3,116,3,122,4,138,4,146,4,152,5,157,6,169,8,182,10
0,0,0,1,1,16,1,17,2,29,2,42,2,57,2,64,3,68,4,76,4,77,5,78,5,78,6,88,6,90,7,95,7,108,7,112,7,121,7,130,7,135,8
0,0,0,8,0,24,0,32,2,38,2,50,2,61,3,63,3,65,4,69,4,72,5,75,5,79,5,87,5,92,5,104,6,108,6,119,6,126,7,134,8,147,9
0,0,0,6,0,14,0,15,1,18,2,22,2,27,3,35,3,42,3,47,3,54,3,56,4,61,4,69,4,84,5,99,5,114,5,124,6,135,6,147,6,154,7
0,0,0,8,0,11,1,17,2,29,2,40,2,45,3,54,3,58,4,60,4,69,4,81,4,88,5,94,5,98,5,107,5,122,5,128,6,139,7,152,7,158,8
0,0,0,1,0,11,0,18,0,22,1,25,1,36,1,43,2,50,2,60,2,65,2,72,2,83,3,86,3,94,3,102,3,116,3,132,3,140,3,164,3,178,5
0,0,0,6,2,15,2,22,2,33,2,38,2,40,3,47,3,49,3,55,3,60,3,71,3,74,4,77,4,77,6,87,6,93,7,104,7,118,7,126,7,137,8
0,0,0,3,0,17,0,27,0,45,0,53,1,58,1,71,1,75,1,79,1,91,1,102,1,113,1,119,1,138,1,151,2,159,2,167,3,178,4,184,5,191,5
0,0,0,6,0,16,0,26,0,30,1,38,1,50,1,54,2,59,2,67,3,76,3,83,3,90,5,93,5,98,5,111,6,119,6,128,7,137,7,154,7,164,8
0,0,0,5,0,11,1,21,1,26,1,38,1,45,1,53,2,60,2,75,2,89,2,103,2,111,4,119,4,131,4,142,4,156,4,164,4,180,5,189,5,196,7
0,0,0,4,0,11,0,13,0,28,1,37,1,47,1,54,1,65,1,70,2,82,2,98,2,106,2,114,2,119,2,126,3,127,3,137,3,144,4,158,5,169,6
0,0,0,8,0,17,0,19,0,22,0,34,0,41,0,51,0,65,0,76,0,81,0,101,0,108,2,109,2,117,3,123,4,131,4,149,4,158,5,164,7,165,10
0,0,0,5,0,16,0,23,0,32,1,44,1,49,1,57,1,68,1,82,2,85,2,91,2,102,4,104,4,111,5,119,5,128,5,140,5,150,5,157,6,178,6
0,0,0,5,0,14,0,17,0,26,0,35,0,50,2,54,2,58,2,62,2,74,2,78,2,92,3,102,3,110,4,112,5,118,6,124,6,134,6,156,7,162,8
0,0,0,1,2,10,2,12,3,16,3,30,3,38,4,41,4,46,5,51,5,58,5,59,5,76,5,84,5,87,5,91,7,96,7,97,9,98,9,109,10,109,10
0,0,0,1,2,7,2,11,2,15,3,19,3,26,3,32,3,40,3,45,3,51,3,58,3,69,4,72,4,84,4,97,4,102,6,115,7,117,8,126,9,126,10
0,0,0,4,1,10,1,14,1,21,2,31,2,34,3,43,4,50,4,60,4,66,4,70,4,77,4,81,4,84,5,86,6,95,6,107,6,121,6,124,7,144,7
0,0,0,7,0,19,0,30,0,39,0,45,1,50,2,59,2,67,2,74,2,83,2,97,2,100,2,106,2,119,2,133,2,139,2,154,2,167,3,176,4,187,5
0,0,0,2,0,9,0,19,1,25,2,36,2,41,2,45,2,49,3,64,4,76,4,79,4,89,6,95,6,101,6,115,6,129,7,129,7,129,7,129,7,129,7
0,0,0,8,0,13,0,25,0,29,0,41,0,50,0,54,0,61,1,66,1,74,1,84,1,87,2,96,2,100,3,103,4,105,5,111,6,121,6,129,7,140,8
0,0,0,6,0,11,0,18,0,27,0,34,0,36,2,39,2,40,3,45,3,56,3,74,3,75,5,82,5,84,7,92,7,104,7,115,7,122,9,122,9,122,9
0,0,0,12,1,20,1,22,2,27,2,38,2,53,2,64,3,68,3,78,3,85,3,100,3,109,3,124,3,132,3,144,3,149,3,154,3,159,4,176,4,181,4
0,0,0,6,1,8,1,19,1,28,1,33,1,43,1,48,1,58,1,63,1,73,1,76,2,83,2,89,2,108,2,118,2,136,2,155,2,175,2,185,3,204,4
0,0,0,12,0,15,0,23,0,29,0,39,0,47,1,52,2,59,2,64,2,68,3,75,3,81,3,89,3,94,5,96,5,101,6,109,6,122,6,149,6,156,7
0,0,0,3,0,4,0,14,1,24,1,36,2,50,3,53,3,59,3,64,3,74,3,77,4,81,4,91,4,97,4,102,5,118,5,123,5,128,6,131,7,143,8
0,0,0,3,0,11,0,17,0,22,0,28,0,35,1,48,2,54,2,64,2,69,2,72,2,79,2,86,2,91,3,95,3,104,4,109,4,119,5,129,5,133,6
0,0,0,1,0,13,0,18,1,20,1,23,1,28,2,36,2,42,2,46,4,57,4,57,4,66,4,73,4,83,4,89,4,102,4,113,4,127,4,141,5,156,6
