,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20,target,chased
0,0,0,11,0,12,2,16,3,19,3,23,3,31,5,34,5,35,5,44,5,48,5,55,5,62,5,77,5,83,5,92,5,97,5,101,6,106,7,109,8,116,9,154,0
0,0,0,6,0,20,0,29,0,33,0,42,0,54,0,60,0,62,1,69,1,77,1,79,1,95,2,102,2,106,3,115,4,119,4,127,4,132,4,147,4,147,4,144,1
0,0,0,5,0,10,0,17,0,19,0,36,0,37,1,46,1,64,1,72,2,77,2,93,2,100,2,120,2,129,2,135,3,148,3,159,4,162,5,167,5,173,7,189,0
0,0,0,1,1,6,1,18,1,21,1,24,2,29,2,30,4,31,5,36,5,49,6,56,6,59,7,65,7,76,8,85,8,104,8,104,9,128,9,132,10,132,10,187,0
0,0,0,6,0,11,0,20,0,27,0,30,0,44,0,51,0,63,1,66,1,70,1,74,1,75,1,75,1,75,1,75,1,75,1,75,1,75,1,75,1,75,1,75,1
0,0,0,8,0,8,0,18,0,32,0,44,0,48,1,50,1,52,1,58,1,70,1,75,1,85,1,95,1,99,1,108,1,115,1,122,1,127,1,127,1,127,1,124,1
0,0,0,4,0,16,0,22,1,30,1,50,1,68,1,74,1,80,1,89,1,101,1,103,2,111,2,123,2,134,2,142,2,143,3,157,3,161,3,167,3,167,3,167,1
0,0,0,5,0,6,1,12,1,16,1,33,2,40,2,47,2,56,2,64,3,70,3,75,3,88,4,91,4,101,4,105,5,109,5,116,5,120,6,123,6,131,7,130,1
0,0,0,10,1,15,1,22,2,27,2,29,2,38,3,48,3,54,4,56,4,59,4,63,4,66,5,75,5,77,6,85,6,89,6,102,6,112,6,130,6,134,6,132,1
0,0,0,5,0,17,0,19,2,24,2,31,2,43,2,53,4,63,4,65,5,70,6,77,6,84,6,90,6,101,7,116,8,129,8,136,9,141,9,148,9,152,10,185,0
